condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C2_D1_real,control,,n/a,n/a,33,color_00037.png,180.0000,2398.07,2399.3632,1.0555,1,1,1,1,1.059413,1.261562,-0.202149,1.313530,1.059412,0.287131,1.280299,0.362617,3.5307,2.5114,0.7517,0.7517,0,0,0,1
C2_D1_real,control,,n/a,n/a,34,color_00038.png,178.6629,2397.55,2398.7961,1.4428,1,1,1,1,2.073282,1.744467,0.328814,2.319810,2.073284,0.868308,3.810415,0.817145,4.6631,4.1970,1.9395,1.9395,0,0,0,1
C2_D1_real,control,,n/a,n/a,35,color_00039.png,179.1685,2378.86,2380.0897,0.9442,1,1,1,1,1.279111,1.584249,-0.305138,1.516059,1.279110,0.607801,1.134579,0.794434,1.4282,2.5507,1.2970,1.2970,0,0,0,1
C2_D1_real,control,,n/a,n/a,36,color_00040.png,178.9337,2400.45,2401.6689,1.3028,1,1,1,1,1.813398,1.522529,0.290869,2.017149,1.813393,1.015506,2.107027,0.930610,2.2641,3.6521,1.6416,1.6416,0,0,0,1
C2_D1_real,control,,n/a,n/a,37,color_00041.png,178.2629,2559.22,2560.4100,1.2125,1,1,1,1,1.457800,1.113280,0.344520,1.570861,1.457804,0.561004,1.164609,0.988271,1.1784,2.7053,1.1545,1.1545,0,0,0,1
C2_D1_real,control,,n/a,n/a,38,color_00042.png,179.0011,2597.49,2598.7105,1.6649,1,1,1,1,1.889524,0.960450,0.929074,2.130711,1.889525,1.049271,2.750585,0.688372,3.9958,3.9127,1.8207,1.8207,0,0,0,1
C2_D1_real,control,,n/a,n/a,39,color_00043.png,179.0317,2586.81,2588.0512,1.0532,1,1,1,1,1.461647,0.998484,0.463163,1.624343,1.461645,0.450828,1.276262,1.158982,1.1012,2.5047,1.4503,1.4503,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,20,color_00024.png,1.5030,25.20,25.2144,0.4509,0,0,0,0,1.018586,0.938864,0.079722,1.211735,1.018586,0.000000,1.240060,0.228242,5.4331,2.1452,1.0564,1.0564,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,21,color_00025.png,0.5204,27.04,27.0435,0.3456,0,0,0,0,1.079163,1.001797,0.077366,1.211735,1.079161,0.000000,1.055225,0.413076,2.5546,1.9299,1.3325,1.3325,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,22,color_00026.png,3.6491,30.07,30.1085,0.5898,0,0,0,0,1.137583,0.840466,0.297117,1.211735,1.137582,0.000000,0.941016,0.527286,1.7846,1.6945,1.2159,1.2159,0,0,0,0
ISO_S05,grid,0.5,ISOTROPIC,ZERO,23,color_00027.png,180.0000,2789.83,2791.1546,0.6111,1,1,1,1,1.109812,1.209573,-0.099761,1.211735,1.109816,0.000000,0.831546,0.636756,1.3059,1.7361,1.2380,1.2380,0,0,0,0
ISO_S05,grid,0.5,ISOTROPIC,ZERO,24,color_00028.png,0.6854,11.57,11.5941,0.2938,0,0,0,0,1.161962,1.097132,0.064830,1.211735,1.161963,0.000000,1.130878,0.337423,3.3515,1.9529,1.1176,1.1176,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,25,color_00029.png,3.0088,7.16,7.3261,0.5903,0,0,0,0,1.147176,0.819890,0.327285,1.211735,1.147176,0.000000,1.108060,0.360241,3.0759,1.7301,1.1538,1.1538,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,26,color_00030.png,2.0511,11.59,11.6315,0.3636,0,0,0,0,1.088094,1.036817,0.051277,1.211735,1.088091,0.000000,0.926166,0.542136,1.7084,2.2028,0.9863,0.9863,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,27,color_00031.png,1.4596,20.72,20.7403,0.4105,0,0,0,0,1.102200,0.902246,0.199954,1.211735,1.102201,0.000000,1.052153,0.416149,2.5283,2.0284,0.9690,0.9690,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,28,color_00032.png,179.6714,2499.14,2500.4509,0.8075,1,1,1,1,1.097472,1.660926,-0.563454,1.211735,1.097471,0.000000,0.889117,0.579185,1.5351,2.1003,0.9684,0.9684,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,29,color_00033.png,1.6186,8.07,8.1218,0.3294,0,0,0,0,1.105414,0.987050,0.118364,1.211735,1.105417,0.000000,1.121717,0.346585,3.2365,1.8602,1.2855,1.2855,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,30,color_00034.png,142.8301,1285.38,1287.4248,10617.2570,1,1,0,0,1.138023,2007.826086,-2006.688063,1.211735,1.138026,0.000000,0.918429,0.549873,1.6703,1.9609,1.0714,1.0714,1,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,31,color_00035.png,3.0300,30.75,30.7769,0.6781,0,0,0,0,1.047958,0.552855,0.495103,1.211735,1.047957,0.000000,1.080214,0.388087,2.7834,1.9511,1.0803,1.0803,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,32,color_00036.png,2.8689,16.28,16.3469,0.6324,0,0,0,0,1.105976,0.727166,0.378811,1.211735,1.105976,0.000000,1.216388,0.251913,4.8286,2.1338,0.8936,0.8936,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,33,color_00037.png,2.0898,35.71,35.7290,0.6135,0,0,0,0,1.101125,0.746483,0.354642,1.211735,1.101126,0.000000,1.036425,0.431877,2.3998,1.9252,1.0517,1.0517,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,34,color_00038.png,180.0000,2396.82,2398.0416,0.7913,1,1,1,1,1.052028,1.449717,-0.397689,1.211735,1.052025,0.000000,0.885361,0.582941,1.5188,2.1614,0.8201,0.8201,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,35,color_00039.png,1.2697,16.45,16.4651,0.4663,0,0,0,0,1.008157,0.932974,0.075183,1.211735,1.008158,0.000000,1.107744,0.360558,3.0723,2.4534,0.7521,0.7521,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,36,color_00040.png,1.8263,7.28,7.3851,0.5220,0,0,0,0,1.017001,0.815272,0.201729,1.211735,1.016997,0.000000,1.109572,0.358730,3.0931,2.6843,0.8936,0.8936,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,37,color_00041.png,2.4566,30.89,30.9224,0.5254,0,0,0,0,1.104133,0.844057,0.260075,1.211735,1.104134,0.000000,1.160317,0.307985,3.7674,2.0314,0.9539,0.9539,0,0,0,1
ISO_S05,grid,0.5,ISOTROPIC,ZERO,38,color_00042.png,157.4965,1295.89,1298.3962,8337.5854,1,1,1,0,1.020010,2032.927523,-2031.907513,1.211735,1.020013,0.000000,1.104539,0.363763,3.0364,2.2798,0.6638,0.6638,1,0,0,1
