condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C2_D1_real,control,,30,color_00034.png,5.7465,24.83,25.0003,1.3810,0,0,0,0,1.660202,0.593862,1.066341,2.016573,1.660202,0.515586,1.1049,3.2484,1.1049,0,0,0,1
C2_D1_real,control,,31,color_00035.png,176.5324,2581.22,2582.5518,2.6002,1,1,1,1,2.727633,0.843347,1.884287,3.023454,2.727638,2.189985,2.7199,3.7638,2.7199,0,0,0,1
C2_D1_real,control,,32,color_00036.png,3.8590,38.14,38.1935,1.6223,0,0,0,0,1.812938,0.750633,1.062305,2.118135,1.812942,1.302965,1.4652,2.6075,1.4652,0,0,0,1
C2_D1_real,control,,33,color_00037.png,180.0000,2398.07,2399.3632,1.0555,1,1,1,1,1.059413,1.261562,-0.202149,1.313530,1.059412,0.287131,0.7517,2.2398,0.7517,0,0,0,1
C2_D1_real,control,,34,color_00038.png,178.6629,2397.55,2398.7961,1.4428,1,1,1,1,2.073282,1.744467,0.328814,2.319810,2.073284,0.868308,1.9395,3.2232,1.9395,0,0,0,1
C2_D1_real,control,,35,color_00039.png,179.1685,2378.86,2380.0897,0.9442,1,1,1,1,1.279111,1.584249,-0.305138,1.516059,1.279110,0.607801,1.2970,2.2376,1.2970,0,0,0,1
C2_D1_real,control,,36,color_00040.png,178.9337,2400.45,2401.6689,1.3028,1,1,1,1,1.813398,1.522529,0.290869,2.017149,1.813393,1.015506,1.6416,2.8814,1.6416,0,0,0,1
C2_D1_real,control,,37,color_00041.png,178.2629,2559.22,2560.4100,1.2125,1,1,1,1,1.457800,1.113280,0.344520,1.570861,1.457804,0.561004,1.1545,2.0998,1.1545,0,0,0,1
C2_D1_real,control,,38,color_00042.png,179.0011,2597.49,2598.7105,1.6649,1,1,1,1,1.889524,0.960450,0.929074,2.130711,1.889525,1.049271,1.8207,2.9869,1.8207,0,0,0,1
C2_D1_real,control,,39,color_00043.png,179.0317,2586.81,2588.0512,1.0532,1,1,1,1,1.461647,0.998484,0.463163,1.624343,1.461645,0.450828,1.4503,2.4740,1.4503,0,0,0,1
SIG_S000,synthetic,0,20,color_00024.png,0.0000,0.08,0.0823,0.0001,0,0,0,0,0.000013,0.000081,-0.000069,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,21,color_00025.png,0.0000,0.09,0.0879,0.0000,0,0,0,0,0.000010,0.000054,-0.000043,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,22,color_00026.png,0.0000,0.09,0.0881,0.0000,0,0,0,0,0.000010,0.000036,-0.000026,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,0
SIG_S000,synthetic,0,23,color_00027.png,0.0000,0.09,0.0873,0.0000,0,0,0,0,0.000009,0.000033,-0.000024,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,0
SIG_S000,synthetic,0,24,color_00028.png,0.0000,0.09,0.0869,0.0000,0,0,0,0,0.000008,0.000029,-0.000020,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,25,color_00029.png,0.0000,0.09,0.0857,0.0000,0,0,0,0,0.000007,0.000015,-0.000008,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,26,color_00030.png,0.0000,0.08,0.0850,0.0000,0,0,0,0,0.000009,0.000020,-0.000010,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,27,color_00031.png,0.0000,0.08,0.0836,0.0000,0,0,0,0,0.000009,0.000037,-0.000028,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,28,color_00032.png,0.0000,0.08,0.0831,0.0000,0,0,0,0,0.000010,0.000048,-0.000039,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,29,color_00033.png,0.0000,0.08,0.0839,0.0000,0,0,0,0,0.000010,0.000052,-0.000043,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,30,color_00034.png,0.0000,0.08,0.0843,0.0000,0,0,0,0,0.000008,0.000052,-0.000044,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,31,color_00035.png,0.0000,0.09,0.0851,0.0000,0,0,0,0,0.000011,0.000047,-0.000036,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,32,color_00036.png,0.0000,0.08,0.0828,0.0001,0,0,0,0,0.000012,0.000062,-0.000050,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,33,color_00037.png,0.0000,0.08,0.0813,0.0001,0,0,0,0,0.000008,0.000093,-0.000085,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,34,color_00038.png,0.0000,0.08,0.0799,0.0001,0,0,0,0,0.000010,0.000098,-0.000089,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,35,color_00039.png,0.0000,0.08,0.0806,0.0001,0,0,0,0,0.000009,0.000084,-0.000075,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,36,color_00040.png,0.0000,0.08,0.0812,0.0001,0,0,0,0,0.000012,0.000080,-0.000068,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,37,color_00041.png,0.0000,0.09,0.0859,0.0000,0,0,0,0,0.000013,0.000057,-0.000044,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,38,color_00042.png,0.0000,0.09,0.0863,0.0000,0,0,0,0,0.000009,0.000057,-0.000047,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S000,synthetic,0,39,color_00043.png,0.0000,0.09,0.0851,0.0000,0,0,0,0,0.000010,0.000047,-0.000037,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
SIG_S025,synthetic,0.25,20,color_00024.png,0.0000,6.12,6.1206,0.1449,0,0,0,0,0.265887,0.223991,0.041897,0.310629,0.265884,0.113632,0.1622,0.4391,0.1622,0,0,0,1
SIG_S025,synthetic,0.25,21,color_00025.png,0.0000,4.90,4.8976,0.1070,0,0,0,0,0.218229,0.176332,0.041897,0.231913,0.218228,0.091015,0.2271,0.3055,0.2271,0,0,0,1
SIG_S025,synthetic,0.25,22,color_00026.png,0.6482,8.26,8.2698,0.2576,0,0,0,0,0.357754,0.239272,0.118482,0.397207,0.357754,0.203346,0.3891,0.5683,0.3891,0,0,0,0
SIG_S025,synthetic,0.25,23,color_00027.png,0.0000,0.26,0.5275,0.1265,0,0,0,0,0.334383,0.283489,0.050894,0.366174,0.334387,0.069850,0.3369,0.5270,0.3369,0,0,0,0
SIG_S025,synthetic,0.25,24,color_00028.png,0.0000,3.52,3.5249,0.1210,0,0,0,0,0.363513,0.337903,0.025611,0.381996,0.363514,0.081811,0.3548,0.5131,0.3548,0,0,0,1
