dataset,image_id,method,keypoint_id,error_px
occ,27,D1,4,2.1224
occ,27,D1,5,1.6982
occ,27,D1,6,1.4154
occ,27,D1,7,2.1818
occ,27,D1,8,1.2414
occ,28,D0,0,0.8708
occ,28,D0,1,2.8873
occ,28,D0,2,3.0840
occ,28,D0,3,3.6052
occ,28,D0,4,4.5390
occ,28,D0,5,0.5292
occ,28,D0,6,0.6274
occ,28,D0,7,1.8037
occ,28,D0,8,1.8143
occ,28,D1,0,4.8138
occ,28,D1,1,3.5797
occ,28,D1,2,2.1270
occ,28,D1,3,0.6329
occ,28,D1,4,2.6336
occ,28,D1,5,0.8751
occ,28,D1,6,1.7297
occ,28,D1,7,2.0800
occ,28,D1,8,1.2432
occ,29,D0,0,1.2923
occ,29,D0,1,2.7051
occ,29,D0,2,4.7114
occ,29,D0,3,4.0824
occ,29,D0,4,4.5458
occ,29,D0,5,0.7382
occ,29,D0,6,1.2096
occ,29,D0,7,1.8302
occ,29,D0,8,2.0611
occ,29,D1,0,3.5779
occ,29,D1,1,3.3189
occ,29,D1,2,0.9556
occ,29,D1,3,0.3429
occ,29,D1,4,2.2569
occ,29,D1,5,0.6169
occ,29,D1,6,1.0884
occ,29,D1,7,1.6000
occ,29,D1,8,1.0793
occ,30,D0,0,1.5623
occ,30,D0,1,2.9274
occ,30,D0,2,4.5542
occ,30,D0,3,4.3945
occ,30,D0,4,4.6470
occ,30,D0,5,0.1099
occ,30,D0,6,1.6791
occ,30,D0,7,2.2043
occ,30,D0,8,1.9211
occ,30,D1,0,3.9726
occ,30,D1,1,3.0673
occ,30,D1,2,1.4052
occ,30,D1,3,0.7018
occ,30,D1,4,2.4298
occ,30,D1,5,1.1049
occ,30,D1,6,0.6039
occ,30,D1,7,1.0295
occ,30,D1,8,0.6268
occ,31,D0,0,0.4103
occ,31,D0,1,2.1640
occ,31,D0,2,1.4653
occ,31,D0,3,2.3308
occ,31,D0,4,2.9198
occ,31,D0,5,0.5781
occ,31,D0,6,1.0519
occ,31,D0,7,1.7256
occ,31,D0,8,1.4420
occ,31,D1,0,5.8501
occ,31,D1,1,2.7199
occ,31,D1,2,3.2423
occ,31,D1,3,2.9403
occ,31,D1,4,1.9674
occ,31,D1,5,0.8908
occ,31,D1,6,1.9480
occ,31,D1,7,3.0351
occ,31,D1,8,1.9548
occ,32,D0,0,0.7371
occ,32,D0,1,1.5432
occ,32,D0,2,2.9277
occ,32,D0,3,2.5238
occ,32,D0,4,2.5694
occ,32,D0,5,0.5807
occ,32,D0,6,1.1005
occ,32,D0,7,1.1840
occ,32,D0,8,1.2437
occ,32,D1,0,4.7590
occ,32,D1,1,1.8958
occ,32,D1,2,1.4652
occ,32,D1,3,1.5990
occ,32,D1,4,1.0821
occ,32,D1,5,1.2204
occ,32,D1,6,1.1935
occ,32,D1,7,2.0697
occ,32,D1,8,1.0319
occ,33,D0,0,3.3015
occ,33,D0,1,2.9249
occ,33,D0,2,4.5969
occ,33,D0,3,4.0125
occ,33,D0,4,2.6968
occ,33,D0,5,0.9861
occ,33,D0,6,2.2355
occ,33,D0,7,3.2768
occ,33,D0,8,1.8540
occ,33,D1,0,2.5114
occ,33,D1,1,2.1719
occ,33,D1,2,1.5204
occ,33,D1,3,0.2777
occ,33,D1,4,0.9818
occ,33,D1,5,0.4564
occ,33,D1,6,0.3802
occ,33,D1,7,0.7517
occ,33,D1,8,0.4833
occ,34,D0,0,4.0324
occ,34,D0,1,5.2969
occ,34,D0,2,3.7472
occ,34,D0,3,4.2410
occ,34,D0,4,3.3773
occ,34,D0,5,2.2814
occ,34,D0,6,1.6258
occ,34,D0,7,4.1668
occ,34,D0,8,1.7970
occ,34,D1,0,2.0516
occ,34,D1,1,4.1970
occ,34,D1,2,1.2077
occ,34,D1,3,1.6859
occ,34,D1,4,2.8417
occ,34,D1,5,0.7191
occ,34,D1,6,1.9395
occ,34,D1,7,2.9797
occ,34,D1,8,1.0372
occ,35,D0,0,4.4139
occ,35,D0,1,3.6675
occ,35,D0,2,6.3176
occ,35,D0,3,4.5691
occ,35,D0,4,1.5814
occ,35,D0,5,1.9130
occ,35,D0,6,2.3212
occ,35,D0,7,2.8674
occ,35,D0,8,0.9914
occ,35,D1,0,1.7953
occ,35,D1,1,2.5507
occ,35,D1,2,2.1593
occ,35,D1,3,0.5060
occ,35,D1,4,0.2444
occ,35,D1,5,0.3143
occ,35,D1,6,1.2970
occ,35,D1,7,1.9139
occ,35,D1,8,0.7312
occ,36,D0,0,4.7758
occ,36,D0,1,4.7797
occ,36,D0,2,5.1897
occ,36,D0,3,3.8448
occ,36,D0,4,0.9663
occ,36,D0,5,2.0784
occ,36,D0,6,1.9507
occ,36,D0,7,3.4134
occ,36,D0,8,0.9251
occ,36,D1,0,2.1926
occ,36,D1,1,3.6521
occ,36,D1,2,1.8137
occ,36,D1,3,0.9987
occ,36,D1,4,1.6416
occ,36,D1,5,0.5715
occ,36,D1,6,1.6296
occ,36,D1,7,2.6888
occ,36,D1,8,1.1320
occ,37,D0,0,4.2481
occ,37,D0,1,1.1847
occ,37,D0,2,6.2417
occ,37,D0,3,3.8301
occ,37,D0,4,3.3402
occ,37,D0,5,1.9832
occ,37,D0,6,1.3292
occ,37,D0,7,2.8416
occ,37,D0,8,1.9699
occ,37,D1,0,1.5815
occ,37,D1,1,1.8620
occ,37,D1,2,2.7053
occ,37,D1,3,1.0866
occ,37,D1,4,1.9485
occ,37,D1,5,1.0550
occ,37,D1,6,0.8021
occ,37,D1,7,1.1545
occ,37,D1,8,0.9247
occ,38,D0,0,3.8992
occ,38,D0,1,3.2168
occ,38,D0,2,5.7615
occ,38,D0,3,5.1211
occ,38,D0,4,4.7640
occ,38,D0,5,1.4768
occ,38,D0,6,0.9411
occ,38,D0,7,3.3593
occ,38,D0,8,2.9121
occ,38,D1,0,2.4399
occ,38,D1,1,3.9127
occ,38,D1,2,1.8207
occ,38,D1,3,1.9312
occ,38,D1,4,2.7555
occ,38,D1,5,0.3593
occ,38,D1,6,1.1217
occ,38,D1,7,1.2268
occ,38,D1,8,1.4380
occ,39,D0,0,2.6894
occ,39,D0,1,1.7738
occ,39,D0,2,5.6248
occ,39,D0,3,3.8471
occ,39,D0,4,3.2931
occ,39,D0,5,1.4042
occ,39,D0,6,0.5829
occ,39,D0,7,2.4061
occ,39,D0,8,1.8903
occ,39,D1,0,2.5047
occ,39,D1,1,2.4663
occ,39,D1,2,1.4503
occ,39,D1,3,1.7357
occ,39,D1,4,1.3842
occ,39,D1,5,0.1278
occ,39,D1,6,1.5871
occ,39,D1,7,0.8488
occ,39,D1,8,1.0498
